({'sheep_polar_coor_r': 133.73954366176466, 'sheep_polar_coor_theta': 6.258953831904795, 'dog_theta': 2.489156094110042, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.688157505109899, -671.2170338665612, {'sheep_polar_coor_r': 134.13252639827402, 'sheep_polar_coor_theta': 0.08030254530680132, 'dog_theta': 2.443441808395756, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 134.13252639827402, 'sheep_polar_coor_theta': 0.08030254530680132, 'dog_theta': 2.443441808395756, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6510988721016977, -675.3804666544597, {'sheep_polar_coor_r': 133.73954366176466, 'sheep_polar_coor_theta': 6.258953831904795, 'dog_theta': 2.3977275226814703, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 133.73954366176466, 'sheep_polar_coor_theta': 6.258953831904795, 'dog_theta': 2.3977275226814703, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.688157505109899, -664.2473961256617, {'sheep_polar_coor_r': 134.13252639827402, 'sheep_polar_coor_theta': 0.08030254530680132, 'dog_theta': 2.3520132369671845, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 134.13252639827402, 'sheep_polar_coor_theta': 0.08030254530680132, 'dog_theta': 2.3520132369671845, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.6216642260551453, -662.8768766841479, {'sheep_polar_coor_r': 145.7415204828295, 'sheep_polar_coor_theta': 0.024328772463182952, 'dog_theta': 2.3062989512528986, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 145.7415204828295, 'sheep_polar_coor_theta': 0.024328772463182952, 'dog_theta': 2.3062989512528986, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.3272494077682495, -665.9362284394618, {'sheep_polar_coor_r': 149.7352727966195, 'sheep_polar_coor_theta': 6.216650006909958, 'dog_theta': 2.260584665538613, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 149.7352727966195, 'sheep_polar_coor_theta': 6.216650006909958, 'dog_theta': 2.260584665538613, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.645853680115062, -653.7205719477356, {'sheep_polar_coor_r': 149.45869869752082, 'sheep_polar_coor_theta': 0.027065414287267834, 'dog_theta': 2.214870379824327, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 149.45869869752082, 'sheep_polar_coor_theta': 0.027065414287267834, 'dog_theta': 2.214870379824327, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.1479382514953613, -655.8066761846949, {'sheep_polar_coor_r': 155.72806564397268, 'sheep_polar_coor_theta': 6.2281767440177145, 'dog_theta': 2.169156094110041, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 155.72806564397268, 'sheep_polar_coor_theta': 6.2281767440177145, 'dog_theta': 2.169156094110041, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 6.068111419677734, -646.6096321969867, {'sheep_polar_coor_r': 169.43186157014333, 'sheep_polar_coor_theta': 6.245812325974767, 'dog_theta': 2.1234418083957554, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 169.43186157014333, 'sheep_polar_coor_theta': 6.245812325974767, 'dog_theta': 2.1234418083957554, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 5.375352382659912, -632.3197248896911, {'sheep_polar_coor_r': 178.38983150026922, 'sheep_polar_coor_theta': 0.024522108211501206, 'dog_theta': 2.0777275226814695, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 178.38983150026922, 'sheep_polar_coor_theta': 0.024522108211501206, 'dog_theta': 2.0777275226814695, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.3902678489685059, -635.1676120885113, {'sheep_polar_coor_r': 181.42702793153362, 'sheep_polar_coor_theta': 6.231722335391467, 'dog_theta': 2.0320132369671837, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
